subject,description,category,priority
General IT request,I have an IT issue that does not fit into another category. Please investigate this problem.,Other,MEDIUM
Server access denied,I need access to an internal company system.,Access,MEDIUM
Emails delayed,My mailbox is full and I cannot receive new messages. The issue started recently.,Email,HIGH
Headset not working,My laptop battery is draining very quickly. I need assistance as soon as possible.,Hardware,MEDIUM
Email attachment problem,I cannot access my company mailbox. The issue started recently.,Email,HIGH
Password expired,My account has been locked after several unsuccessful login attempts. The issue started recently.,Account,LOW
Malware warning,An unknown sender sent me a suspicious attachment. I need assistance as soon as possible.,Security,MEDIUM
Miscellaneous IT issue,I would like to request new computer equipment. Please investigate this problem.,Other,MEDIUM
Software compatibility issue,The application freezes whenever I try to use it. I need assistance as soon as possible.,Software,HIGH
Username issue,I cannot log into my company account. This is affecting my work.,Account,LOW
IT assistance required,I would like to request new computer equipment.,Other,HIGH
Application showing error,The latest software update failed to install. The issue started recently.,Software,HIGH
Cannot connect to office network,I cannot connect to the company server. I need assistance as soon as possible.,Network,LOW
VPN connection failed,I do not have access to the internet. Please help me resolve this issue.,Network,MEDIUM
Account locked,I need help recovering my company account. This is affecting my work.,Account,MEDIUM
IT assistance required,I need assistance setting up a new computer. Please help me resolve this issue.,Other,HIGH
Suspicious attachment,I received an alert about an unknown login to my account. The issue started recently.,Security,MEDIUM
Software installation failed,The application displays an error whenever I perform an operation. Please help me resolve this issue.,Software,MEDIUM
New equipment request,I need assistance setting up a new computer.,Other,HIGH
Browser not working,I am unable to install the required software on my computer.,Software,MEDIUM
Suspicious attachment,I received an email containing a suspicious link. Please investigate this problem.,Security,HIGH
Phishing link received,I received an alert about an unknown login to my account.,Security,MEDIUM
Access denied error,Access to the server is being denied. This is affecting my work.,Access,MEDIUM
Mouse not responding,My computer has become extremely slow recently. This is affecting my work.,Hardware,MEDIUM
Program will not open,The software does not appear to be compatible with my system. The issue started recently.,Software,MEDIUM
Cannot send email,Outlook does not open when I click on it. Please help me resolve this issue.,Email,MEDIUM
Windows error,My web browser is not working correctly. I need assistance as soon as possible.,Software,LOW
